Company,Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
Apple,2023,383285,96995,352583,290437,110543
Apple,2024,391035,93736,364980,308030,118254
Apple,2025,416161,112010,359241,285508,111482
